word,FREQcount,Lg10WF,CDcount,Lg10CD,Dom_PoS_SUBTLEX,Percentage_dom_PoS,animacy_mental_rating,animacy_physical_rating
island,2018,3.3051,684,2.8357,Noun,1.00,197,218
blackberry,38,1.5911,27,1.4472,Noun,1.00,128,361
strawberry,282,2.4518,166,2.2227,Noun,0.99,125,424
liver,729,2.8633,428,2.6325,Noun,1.00,178,390
vest,284,2.4548,203,2.3096,Noun,1.00,149,136
cub,107,2.0334,68,1.8388,Noun,0.97,340,550
airport,1940,3.288,982,2.9926,Noun,1.00,226,154
voice,4394,3.643,2396,3.3797,Noun,0.97,246,229
guitar,795,2.9009,341,2.534,Noun,1.00,163,141
goddess,447,2.6513,221,2.3464,Noun,0.98,433,448
disease,1335,3.1258,820,2.9143,Noun,1.00,165,398
stove,387,2.5888,282,2.4518,Noun,0.99,178,125
mister,2326,3.3668,1228,3.0896,Noun,1.00,504,554
squad,1096,3.0402,563,2.7513,Noun,1.00,503,385
moth,116,2.0682,69,1.8451,Noun,0.98,208,634
prison,3368,3.5275,1527,3.1841,Noun,1.00,268,129
brick,519,2.716,255,2.4082,Noun,0.95,171,136
station,4033,3.6057,2099,3.3222,Noun,0.99,166,140
niece,486,2.6875,275,2.4409,Noun,1.00,559,620
pendulum,27,1.4472,17,1.2553,Noun,1.00,191,149
mole,411,2.6149,162,2.2122,Noun,0.97,286,528
crocodile,115,2.0645,70,1.8513,Noun,0.98,323,662
marijuana,271,2.4346,150,2.179,Noun,1.00,127,370
sheep,685,2.8363,392,2.5944,Noun,1.00,321,659
ox,397,2.5999,179,2.2553,Noun,0.98,298,653
meat,2226,3.3477,1286,3.1096,Noun,1.00,142,218
stomach,1725,3.237,1219,3.0864,Noun,1.00,218,363
truck,3716,3.5702,1555,3.192,Noun,1.00,193,122
fog,482,2.6839,215,2.3345,Noun,0.99,146,186
earth,5074,3.7054,2339,3.3692,Noun,1.00,218,358
